,dot_p,dot_q,dot_r,dot_u,dot_v,dot_w,p,phi,psi,q,r,t,theta,u,u1,u2,u3,u4,u5,u6,u7,u8,u_max,u_min,v,w,x,y,z
898,0.0,0.0,-0.002046714249723153,0.005145454688546964,-0.002016945617830789,3.1324009166899036e-07,0.0,0.0,3.114694450984144,0.0,0.007419766476440817,17.97797797797798,0.0,-0.013583942617888119,-0.03670820349688164,-3.5916377083806474,-3.686139135587608,0.14543252146217442,0.09904712187641254,-3.708478646124564,-3.614764730810995,-0.20777143984170532,8,-8,0.007225362529087553,-2.253174834731201e-05,2.964693965201097,3.023017507591732,1.0000928456874776
899,0.0,0.0,-0.002035484636436227,0.0051074763053820275,-0.0020095535572191656,4.2015487858878825e-07,0.0,0.0,3.1148420321198182,0.0,0.007379056783712092,17.997997997998,0.0,-0.013481793091780478,-0.036216225230402924,-3.592038241251764,-3.6858372099659524,0.14444907671848844,0.09821327341248524,-3.708076886240789,-3.615059575599218,-0.20644612490057074,8,-8,0.00718517145794317,-2.2523345249740236e-05,2.9649596386283843,3.0228666042996104,1.0000923952205727
900,0.0,0.0,-0.0020243166361539585,0.0050697654987120365,-0.0020021351258693895,5.247675064369543e-07,0.0,0.0,3.114988803528838,0.0,0.007338570450989013,18.01801801801802,0.0,-0.013380397781806237,-0.035729717152202814,-3.5924363041538423,-3.6855378540543566,0.14347132775743934,0.09738676705312255,-3.707677722238139,-3.615352018586795,-0.20512837765835906,8,-8,0.007145128755425782,-2.2512849899611497e-05,2.965223328563384,3.0227165950263233,1.0000919449635748
901,0.0,0.0,-0.0020132099108270745,0.005032320590576674,-0.001994691344239873,6.271160923710749e-07,0.0,0.0,3.1151347696538934,0.0,0.007298306252772471,18.03803803803804,0.0,-0.013279751369994703,-0.03524862466956148,-3.5928319087910863,-3.6852410464109555,0.14249925363810326,0.09656753798880623,-3.707281139849144,-3.6156420783761067,-0.203818166957348,8,-8,0.007105234928540985,-2.2500307577764075e-05,2.9654850495207614,3.022567475596319,1.0000914949574233
902,0.0,0.0,-0.0020021641242610848,0.004995139910253978,-0.001987223217535,7.272381760801051e-07,0.0,0.0,3.115279934913299,0.0,0.0072582629702872496,18.05805805805806,0.0,-0.013179848571789624,-0.034772893676512734,-3.5932250668652324,-3.6849467657618606,0.14153283331831934,0.09575552195220627,-3.7068871248506543,-3.6159297734448312,-0.20251546159401287,8,-8,0.007065490464190285,-2.2485762814242472e-05,2.9657448159137054,3.022419241839547,1.000091045242167
903,0.0,0.0,-0.001991178942106099,0.004958221794284716,-0.001979731735878825,8.251707281081624e-07,0.0,0.0,3.1154243037011278,0.0,0.007218439391445127,18.07807807807808,0.0,-0.01308068413590393,-0.03430247055026692,-3.5936157900745305,-3.6846549910000435,0.14057204565830095,0.09495065521430568,-3.7064956630642305,-3.6162151221464303,-0.2012202303223397,8,-8,0.007025895829472708,-2.246925939968031e-05,2.966002642054566,3.0222718895916616,1.000090595856979
904,0.0,0.0,-0.0019802540318466597,0.004921564586495453,-0.0019722178744871447,9.209501582884222e-07,0.0,0.0,3.115567880387344,0.0,0.007178834310808194,18.0980980980981,0.0,-0.01298225284417402,-0.03383730214764814,-3.5940040901127497,-3.6843657011842192,0.13961686942419002,0.09415287458054127,-3.706106740356516,-3.616498142710643,-0.19993244185708314,8,-8,0.006986451471982965,-2.2450840396514542e-05,2.9662585421554915,3.022125414694227,1.000090146840171
905,0.0,0.0,-0.0019693890627917204,0.0048851666380204835,-0.0019646825938380696,1.0146123238026634e-06,0.0,0.0,3.115710669317935,0.0,0.007139446529552359,18.11811811811812,0.0,-0.012884549511413611,-0.03337733580154584,-3.5943899786682003,-3.684078875537737,0.13866728329155795,0.09336211738696032,-3.7057203426396015,-3.6167788532439777,-0.19865206487697243,8,-8,0.006947157820106204,-2.243054815003849e-05,2.9665125303290596,3.0219798129949123,1.000089698229208
906,0.0,0.0,-0.0019585837060646237,0.004849026307322465,-0.001957126839841038,1.1061925373949575e-06,0.0,0.0,3.1158526748150432,0.0,0.007100274855431066,18.13813813813814,0.0,-0.012787568985267162,-0.0329225193173797,-3.594773467422774,-3.683794493447475,0.13772326584885083,0.09257832149639224,-3.705336455871377,-3.617057271730215,-0.19737906802786337,8,-8,0.006908015283309384,-2.240842429929059e-05,2.966764620588909,3.0218350803476897,1.0000892500607221
907,0.0,0.0,-0.0019478376345931413,0.004813141960211971,-0.0019495515440042144,1.1957255751009057e-06,0.0,0.0,3.115993901177098,0.0,0.007061318102739204,18.15815815815816,0.0,-0.012691306146062923,-0.03247280096958173,-3.595154568051008,-3.6835125344627384,0.13678479560078144,0.09180142529463883,-3.7049550660558794,-3.6173334160309136,-0.19611341992583853,8,-8,0.006869024252429299,-2.2384509787788573e-05,2.967014826850365,3.0216912126130238,1.0000888023705263
908,0.0,0.0,-0.0019371505230995623,0.0047775119698658,-0.0019419576236004191,1.2832456843512254e-06,0.0,0.0,3.1161343526789436,0.0,0.007022575092277212,18.17817817817818,0.0,-0.012595755906665607,-0.03202812949809081,-3.595533292219159,-3.683232978294161,0.13585185097166744,0.09103136768667872,-3.704576159243627,-3.6176073038859164,-0.19485508916025535,8,-8,0.006830185099957291,-2.235884487410155e-05,2.967263162931062,3.0215482056580605,1.0000883551936288
909,0.0,0.0,-0.001926522048090916,0.004742134716844175,-0.0019343459818314862,1.3687865914807792e-06,0.0,0.0,3.11627403357197,0.0,0.006984044651315394,18.1981981981982,0.0,-0.012500913212328723,-0.03158845410486326,-3.595909651584306,-3.682955804812615,0.1349244103087171,0.09026808809288928,-3.7041997215319387,-3.6178789529138657,-0.1936040442967431,8,-8,0.006791498180320661,-2.2331469142271933e-05,2.9675096425515677,3.0214060553568105,1.000087908564246
910,0.0,0.0,-0.001915951887849075,0.004707008589106876,-0.0019267175079911525,1.4523815094357915e-06,0.0,0.0,3.116412948084241,0.0,0.006945725613558412,18.21821821821822,0.0,-0.012406773040546585,-0.031153724450398795,-3.5962836577934607,-3.6826809940481184,0.13400245188526466,0.08951152644528533,-3.7038257390652567,-3.618148380612721,-0.19236025388015118,8,-8,0.006752963830160838,-2.2302421512083217e-05,2.967754279335998,3.0212647575903313,1.0000874625158158
911,0.0,0.0,-0.0019054397224210688,0.00467213198202823,-0.0019190730776263809,1.534063145282878e-06,0.0,0.0,3.116551100420623,0.0,0.006907616819109991,18.23823823823824,0.0,-0.01231333040090602,-0.030723890650281527,-3.5966553224827047,-3.6824085261887554,0.13308595390395228,0.08876162318377477,-3.7034541980354443,-3.6184156043602775,-0.19112368643744554,8,-8,0.006714582368608311,-2.227174024917756e-05,2.9679970868126326,3.021124308246904,1.0000870170810108
912,0.0,0.0,-0.0018949852336094203,0.004637503298411004,-0.0019114135526972333,1.6138637076079734e-06,0.0,0.0,3.116688494762912,0.0,0.006869717114437802,18.25825825825826,0.0,-0.0122205803349378,-0.030298903271735636,-3.5970246572763367,-3.682138381579593,0.13217489449986253,0.08801831925243012,-3.7030850846820895,-3.6186806414146933,-0.189894310480557,8,-8,0.006676354097554366,-2.2239462975025398e-05,2.9682380784145264,3.0209847032222084,1.0000865722917514
